company_name,company_id,01/25/2016 - 01/31/2016,02/01/2016 - 02/07/2016,02/08/2016 - 02/14/2016,02/15/2016 - 02/21/2016,02/22/2016 - 02/28/2016,02/29/2016 - 03/06/2016,03/07/2016 - 03/13/2016,03/14/2016 - 03/20/2016,03/21/2016 - 03/27/2016,03/28/2016 - 04/03/2016,04/04/2016 - 04/10/2016,04/11/2016 - 04/17/2016,04/18/2016 - 04/24/2016,04/25/2016 - 05/01/2016,05/02/2016 - 05/08/2016,05/09/2016 - 05/15/2016,05/16/2016 - 05/22/2016,05/23/2016 - 05/29/2016,05/30/2016 - 06/05/2016,06/06/2016 - 06/12/2016,06/13/2016 - 06/19/2016,06/20/2016 - 06/26/2016,06/27/2016 - 07/03/2016,07/04/2016 - 07/10/2016,07/11/2016 - 07/17/2016,07/18/2016 - 07/24/2016,07/25/2016 - 07/31/2016,08/01/2016 - 08/07/2016,08/08/2016 - 08/14/2016,08/15/2016 - 08/21/2016,08/22/2016 - 08/28/2016
3M,14,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:22,00:00,00:00,19:14,00:00,00:08,03:06,00:59,00:00,00:00,00:00,00:30,00:00,01:00,03:29,00:21,00:00,00:01,00:17,01:29,02:42,08:54,01:35
Alcoa Inc.,90,00:14,00:11,01:25,00:00,00:00,00:00,00:00,00:01,00:00,01:00,00:00,03:08,02:00,00:00,00:00,00:00,00:00,00:00,00:00,00:17,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
American Express,126,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,01:16,00:00,00:32,00:00,10:36,04:44,03:07,06:37,03:13,16:29,00:00
ArcheMedX,164,00:00,00:00,00:00,00:00,00:02,00:00,00:00,00:01,00:00,00:30,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,08:54,00:00,00:00,00:00
Archer Roose,160,00:00,00:00,00:00,00:00,00:58,00:00,00:00,02:32,00:00,00:20,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,01:21,00:00,00:00,00:00,01:43,00:00,00:00,00:00,00:00,00:00,00:00
Bain & Company,13,00:00,00:00,03:15,00:00,00:00,00:00,00:00,00:40,00:00,00:05,01:46,00:17,00:00,00:51,00:00,00:00,00:05,00:00,00:00,00:10,00:34,02:10,02:14,00:00,03:05,04:48,00:00,00:32,00:13,00:10,00:00
BB&T,71,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:37,00:00,00:00,00:00,00:00,00:00,01:32,00:00,00:00,00:00,00:00,00:00,00:05,00:06,00:00,00:00,00:00,00:56,00:00,06:10,00:24,00:02,00:00,00:10
BizCorps,81,00:00,00:00,00:00,00:14,02:01,00:00,00:00,00:00,00:37,00:04,00:00,00:00,00:00,00:00,00:00,00:00,00:08,00:00,00:01,00:03,00:02,00:00,00:00,01:15,00:00,00:00,02:07,00:06,00:00,00:00,00:06
Castle Hill Gaming,163,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:02,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:14,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:18,00:00
Chevron,50,00:00,01:15,00:13,00:00,00:00,00:00,00:00,00:00,00:08,00:40,00:00,00:00,00:00,02:10,00:02,01:40,00:00,00:00,04:25,01:18,00:46,00:00,00:00,02:07,00:00,00:00,00:00,13:54,00:00,00:00,00:00
