company_name,2016/01/25 - 2016/01/31,2016/02/01 - 2016/02/07,2016/02/08 - 2016/02/14,2016/02/15 - 2016/02/21,2016/02/22 - 2016/02/28,2016/02/29 - 2016/03/06,2016/03/07 - 2016/03/13,2016/03/14 - 2016/03/20,2016/03/21 - 2016/03/27,2016/03/28 - 2016/04/03,2016/04/04 - 2016/04/10,2016/04/11 - 2016/04/17,2016/04/18 - 2016/04/24,2016/04/25 - 2016/05/01,2016/05/02 - 2016/05/08,2016/05/09 - 2016/05/15,2016/05/16 - 2016/05/22,2016/05/23 - 2016/05/29,2016/05/30 - 2016/06/05,2016/06/06 - 2016/06/12,2016/06/13 - 2016/06/19,2016/06/20 - 2016/06/26,2016/06/27 - 2016/07/03,2016/07/04 - 2016/07/10,2016/07/11 - 2016/07/17,2016/07/18 - 2016/07/24,2016/07/25 - 2016/07/31,2016/08/01 - 2016/08/07,2016/08/08 - 2016/08/14,2016/08/15 - 2016/08/21,2016/08/22 - 2016/08/28
3M,2,2,0,2,0,0,0,2,8,4,1,3,4,7,4,3,5,2,5,1,2,0,4,5,2,2,3,3,4,5,1
Alcoa Inc.,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,2,2,3,2,3,3,3,1
ArcheMedX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Archer Roose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BB&T,3,0,0,1,0,0,0,0,1,0,0,0,3,1,1,0,2,0,2,1,0,0,1,0,0,0,2,3,1,2,0
Bain & Company,3,2,3,2,1,0,2,1,10,6,8,1,3,20,10,7,7,2,4,6,8,4,13,2,11,6,7,11,10,13,7
BizCorps,1,1,0,0,0,1,0,0,2,0,0,1,1,1,1,0,1,0,1,0,0,1,2,1,0,1,1,3,0,1,0
Castle Hill Gaming,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevron,2,0,1,1,0,0,0,0,5,1,0,0,3,0,2,3,3,1,7,2,1,1,4,3,4,1,2,3,4,2,2
Cigna,1,1,0,0,0,0,0,0,2,2,0,0,2,2,1,0,1,0,4,0,2,2,3,1,0,1,0,4,2,4,1
Consulting Industry,0,3,1,1,0,0,0,0,7,0,2,1,1,6,4,1,3,2,2,4,2,3,3,1,3,3,2,9,3,8,2
Consumer Products Industry,0,0,0,0,1,0,0,0,3,0,0,0,1,2,3,0,3,0,1,2,0,1,1,3,2,1,3,1,0,4,2
Corning Inc.,0,1,0,1,0,1,2,0,3,0,1,0,2,1,2,0,1,1,1,0,0,2,1,0,0,1,1,1,1,2,1
Crane,0,0,0,1,0,0,1,0,3,0,1,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,2,1,0,0
DuPont,2,2,0,1,0,0,0,1,4,0,1,1,2,1,4,2,2,1,0,1,1,2,2,3,0,0,0,3,2,1,2
E&J Gallo,0,1,0,0,0,0,0,0,0,1,0,1,0,2,3,2,1,1,0,0,1,0,3,2,1,2,2,1,0,0,0
Emerson,0,0,1,1,0,0,0,1,2,1,1,1,1,1,2,2,3,2,2,0,1,2,3,0,1,1,0,3,0,1,3
