company_name,2016/01/25 - 2016/01/31,2016/02/01 - 2016/02/07,2016/02/08 - 2016/02/14,2016/02/15 - 2016/02/21,2016/02/22 - 2016/02/28,2016/02/29 - 2016/03/06,2016/03/07 - 2016/03/13,2016/03/14 - 2016/03/20,2016/03/21 - 2016/03/27,2016/03/28 - 2016/04/03,2016/04/04 - 2016/04/10,2016/04/11 - 2016/04/17,2016/04/18 - 2016/04/24,2016/04/25 - 2016/05/01,2016/05/02 - 2016/05/08,2016/05/09 - 2016/05/15,2016/05/16 - 2016/05/22,2016/05/23 - 2016/05/29,2016/05/30 - 2016/06/05,2016/06/06 - 2016/06/12,2016/06/13 - 2016/06/19,2016/06/20 - 2016/06/26,2016/06/27 - 2016/07/03,2016/07/04 - 2016/07/10,2016/07/11 - 2016/07/17,2016/07/18 - 2016/07/24,2016/07/25 - 2016/07/31,2016/08/01 - 2016/08/07,2016/08/08 - 2016/08/14,2016/08/15 - 2016/08/21,2016/08/22 - 2016/08/28
3M,4,2,3,3,2,2,7,14,22,13,8,13,9,15,15,12,16,8,13,22,8,15,21,19,11,13,9,11,12,17,15
Alcoa Inc.,2,6,2,0,2,0,0,4,6,8,2,3,8,0,3,0,0,0,1,4,0,0,3,0,2,0,0,0,0,0,1
American Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,12,22,8,18,20,14,35,22,20,10
ArcheMedX,0,0,0,0,5,0,0,2,1,6,0,0,0,0,1,2,0,0,0,0,0,2,3,3,1,0,0,1,0,0,0
Archer Roose,0,0,0,2,4,2,0,2,2,4,1,0,0,0,1,1,0,1,0,1,1,0,2,1,1,1,2,0,0,0,0
BB&T,6,1,0,3,0,0,4,4,5,3,1,2,7,11,5,4,8,3,4,4,8,5,3,2,4,1,3,6,9,6,9
Bain & Company,4,8,8,4,8,2,6,2,19,12,19,19,19,33,20,13,21,13,15,18,23,18,23,10,13,7,16,17,21,16,13
BizCorps,4,10,0,1,3,1,2,0,5,8,1,7,5,5,1,5,3,1,2,4,6,2,3,6,2,1,4,2,2,7,3
Castle Hill Gaming,0,0,0,0,1,0,0,3,1,3,3,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0
Chevron,2,4,1,2,1,1,1,3,13,13,2,1,12,14,4,8,7,2,20,14,11,3,6,10,5,3,3,10,3,9,5
Cigna,6,3,3,1,0,0,0,0,5,7,3,2,9,10,0,1,6,8,29,7,10,6,5,9,0,5,9,4,1,19,8
Consulting Industry,7,4,6,2,1,4,4,1,16,7,5,4,12,13,8,5,9,4,8,4,10,2,5,6,6,2,3,7,11,5,7
Consumer Products Industry,3,4,3,0,2,0,1,1,11,9,4,0,6,5,8,8,9,0,9,4,5,3,3,6,7,9,5,2,6,1,11
Corning Inc.,4,3,3,1,0,1,2,0,4,3,3,0,1,2,6,1,3,1,4,3,4,5,4,1,2,0,3,5,1,2,3
Crane,2,1,1,0,0,0,1,1,0,2,1,1,2,1,2,0,1,1,0,1,3,3,3,2,0,1,1,6,0,0,1
DuPont,4,0,2,1,1,0,0,2,3,4,3,0,2,4,2,4,2,2,1,2,6,3,21,24,2,4,4,6,16,2,5
E&J Gallo,2,1,1,2,0,0,1,2,4,4,1,2,1,2,5,3,4,2,3,8,6,0,5,3,6,2,6,3,1,2,1
Emerson,2,1,0,1,1,0,3,1,4,3,0,1,3,0,1,1,2,2,1,4,6,18,8,0,1,2,10,7,0,5,2
Environmental Defense Fund (EDF),3,5,1,0,0,2,0,3,2,6,0,1,2,1,2,0,1,2,2,0,4,3,5,14,1,0,4,2,5,3,0
Evercore,2,4,2,1,1,1,3,6,7,4,1,4,7,18,2,3,6,1,9,7,5,4,8,3,5,2,3,13,12,6,5
Finance Industry,1,1,3,0,0,0,1,3,3,2,5,4,3,7,0,1,2,1,2,5,3,3,4,1,1,2,1,6,5,2,4
Forcier Consulting,1,2,0,0,3,0,0,0,1,1,1,3,1,0,1,0,1,1,1,0,5,0,3,3,3,1,0,0,1,1,3
Ford Motor Company,3,4,3,0,0,1,0,1,3,2,1,1,0,1,1,1,1,2,2,4,4,1,4,0,3,2,3,9,7,7,3
Genentech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,14,15,7,10,16,8,11,3,9,6
Greystar,0,5,0,0,1,0,0,1,0,7,1,0,0,1,0,1,1,2,2,0,1,1,2,0,0,1,0,0,1,0,0
